"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"CFAP52",0.00037165693981712,0.000650746208027472,0.0101301905314309
"PCLAF",0.000180104595888966,0.000543066813120699,4.01337104454415e-05
"PLK1",5.83176374356936e-07,4.71739109474704e-06,5.98852950469098e-05
"NEMP1",1.80850368166668e-06,6.20710324373929e-06,0.00160310054261869
"PIP4K2C",6.31299841493818e-05,0.000174410378793921,0.00566274746870715
"RCCD1",0.000287199523168977,0.00126478952046904,0.00297024068844054
"PHB1",0.000201462365539204,0.000510761223162336,0.0072708584478346
"DOLPP1",0.00708266890394119,0.0182994271335755,0.0109371680511997
"DNAAF19",3.07376960290465e-06,2.68599585869221e-05,0.00130485698225528
"PRR15L",0.000903963266894197,0.00247355861779861,0.0265382411927688
"CDT1",6.74340147560967e-05,0.000253618817066197,0.000566136940874781
"DHRS13",4.14905994774179e-05,0.000193981564262168,0.00116122028105894
"RHEBL1",0.000312910024641797,0.000560753648692093,0.0234223899794596
"SPINT2",0.000240489130253806,0.000517367427175303,0.000309226332197898
"DNAAF3",0.020774637283694,0.0288751426815885,0.0326618332208743
"CHAF1A",2.67887639619043e-05,0.00014568251466191,0.0015691448330508
"KIFC2",0.00874265290667635,0.0127698500273058,0.0129630771275265
"TK1",1.55950260606241e-05,7.17371978311888e-05,0.000114154524341006
"TMEM68",6.68730759051723e-05,0.000307322879295774,0.00287957835918733
"BSCL2",0.00406495951209921,0.010886227597586,0.0250551565376506
"PBK",2.57099381672481e-07,3.77424128694234e-06,0.000324017022250339
"FAM83B",0.0193034116484264,0.0315365717861256,0.0304969365583502
"COA6",0.00102938764806647,0.00311251296251243,0.017245787760254
"DTYMK",0.000105194301372793,0.000353000047654705,0.00247099142738728
"RFWD3",8.15475521756817e-05,0.000295690135666917,0.00266294085875601
"REEP4",0.00267012068029436,0.00740952934321186,0.0276526416412951
"FEN1",5.88787872899926e-08,2.98221604598823e-07,0.000232199043207445
"VWA3B",0.000861587706646387,0.00150520085360634,0.0393742278886392
"ZNF30",0.00761302864126777,0.0277599829997648,0.0216465577296646
"SHOX2",6.76568425692936e-06,6.77253492975852e-05,0.00419695282374814
"PLA2G4F",0.00175786043444369,0.0034407305206289,0.0189173112733661
"GPRIN1",2.89558886825711e-07,1.49592353266704e-06,0.000303000947167876
"RASSF6",0.000359180256245733,0.000851678663430645,0.0134237801573889
"DFFB",0.00213755188849952,0.00844396640050635,0.0130336834450695
"CKAP2L",3.31674118145879e-09,7.03238007793089e-08,4.41164323735738e-05
"BUB1",8.84816193899892e-10,1.44197690336176e-08,2.64759795643893e-05
"LRRC45",0.00315325243502392,0.00630634108904013,0.0203533368303664
"CHRNA5",0.0191747326578234,0.0316290262475433,0.00872814833452949
"CENPX",0.00259672664561548,0.00462253900657388,0.00839787711671253
"TIGD4",0.00912370865925281,0.0159944015528241,0.0358342107886026
"NIPA1",0.000267282347611885,0.000557612084009571,0.00421869278927796
"FOXD4",0.00228281968735433,0.00341961520512442,0.0171110725436584
"ZNF212",0.00153158275940705,0.0114864499454861,0.00757578166830806
"CMTM8",0.0002405976002642,0.000582103721016348,0.00906761055767223
"CDK1",1.52896544769605e-10,4.88305511012514e-09,7.00925230362328e-05
"TMEM182",1.79696143833895e-05,8.95101483977357e-05,0.00207246240773287
"NFXL1",0.000849112952065597,0.00370943329602276,0.0110790840768579
"ARL6IP1",0.000727634465602394,0.00164342289860764,0.0171327475211209
"CDCA4",3.62638168510054e-06,2.96078146275442e-05,0.0015200643354988
"SDR16C5",7.30932173503886e-05,0.000269970240355739,0.00495850553090146
"LRRC8E",0.00699076612936771,0.0116724740616472,0.0202451399561732
"ZNF692",0.00701732715738305,0.0194351050424971,0.020497636273083
"NETO2",0.00125354744318607,0.00214917924711434,0.0417209372121274
"FAM241B",6.81097529274932e-05,0.000143103604025759,0.00212796592802365
"SHCBP1",2.72090843176457e-06,1.75074931063091e-05,9.28890383871573e-05
"CHD7",0.000220609382415579,0.000667099876256643,0.00145664491676262
"ESCO2",3.45269128293636e-07,4.73056000486661e-06,0.000155368808670457
"LRRC8D",0.00400323074828976,0.0104562847977446,0.0118176062262667
"RHNO1",0.00159825756556431,0.00360571049051272,0.0360226092942981
"RRM2",3.2446254776171e-07,3.41321852636391e-06,6.46044506100435e-05
"FRMD5",0.00184598332879498,0.00337334153700501,0.00145145172129137
"PPIH",8.72356730466898e-07,0.000162757162007357,0.000664747720158009
"EPHX4",3.55428227491777e-09,1.09619347445343e-07,0.00015669946958997
"MTBP",1.88095570000775e-07,1.18983461536153e-06,0.000680266981918166
"MRPL13",0.000414876194190138,0.00104190399082939,0.00861887188299106
"C5orf34",0.000304179276571425,0.00104168630001067,0.0101263505000552
"CERS6",3.18663868910059e-05,7.00792106777085e-05,0.000951639060515505
"CHCHD1",8.62602507773214e-05,0.000347589988769899,0.00570763566912234
"RAD9A",0.0075510579723388,0.0179831593787417,0.0330192558021923
"LCLAT1",0.000693467999194441,0.00206512236596142,0.0122104201697213
"CKS1B",1.47694950113085e-05,5.03117958268428e-05,0.000747987487261824
"VANGL1",8.63625163827828e-05,0.000333600406720657,0.00109655908612028
"DAG1",0.0174230131734853,0.0274237507340974,0.0474895958761926
"LRFN4",0.000753133015785486,0.00154868838188525,0.0103494242455333
"TOP6BL",2.57675131025267e-06,9.89519170531966e-06,0.000648607002826746
