"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"CILP",8.3585389544309e-08,1.22120864337129e-06,0.000253554678241241
"RASGEF1B",0.0148830428969819,0.0129560103343337,0.0456076506779894
"GPAT3",0.00488990278039612,0.00726331816259729,0.00818245265117352
"FGF2",3.41628329278322e-06,1.3988926182701e-05,0.000197606129920672
"MMRN1",1.93556062913408e-12,1.50691406911136e-10,1.38279884855481e-05
"SEPTIN11",0.000474508113116607,0.000491434507976651,0.00435524379962846
"SHISAL1",0.00573551550696799,0.00979090703202875,0.00574622953658038
"PARVG",0.0227896338808196,0.0284251664417995,0.00814203729754966
"GABARAPL1",0.000110044384454167,0.000122313585920677,0.000463169759923802
"GLIPR1",0.00142999428556641,0.00153741495398294,0.0013853570199952
"PTPRQ",2.63238489767154e-05,0.000130993497560412,1.86102308693501e-05
"LUM",0.0113236957383431,0.0131975764023706,0.0450202581633783
"KERA",0.0179670252937868,0.0209598514750827,0.0331637598456536
"ACVRL1",0.00043451309085194,0.00064972207708786,0.0013026619124109
"CBLN3",0.00873171516057349,0.016123200091706,0.0138917393079531
"ARMH4",0.00203729889548292,0.00258785525089566,0.0146201654255834
"JDP2",2.19456311798969e-08,7.77778020741982e-08,3.81240703030826e-05
"SLC24A4",0.00694411674394829,0.00993673622573251,0.00335380154335984
"FBLN5",2.50374648320033e-08,2.25652291830081e-07,3.61815633978657e-05
"FGF7",5.7800813312089e-07,2.80212568721832e-06,0.000240901264426552
"HDC",0.000749883717341184,0.00127023674080574,0.000276609257622252
"TLNRD1",0.00233987326464913,0.00220698449916823,0.0200783535782148
"TPM1",0.00046264902539479,0.00065088543197294,0.00495803769031386
"CYP1A1",6.36534297793377e-06,5.37246861659596e-05,0.00430280153450082
"NTRK3",8.94017474837992e-06,3.73208409830674e-05,8.70595554735613e-05
"MFGE8",3.91823114094454e-05,5.99787494690266e-05,0.00100692246929776
"CRTC3",0.000344677609904224,0.00112126199752493,0.00196149865891266
"TGFB1I1",0.0203621388935729,0.0228097366371176,0.018688691260741
"NUDT7",0.0146499026328598,0.0161601606818543,0.0355215185134116
"CMTM2",2.87727313570373e-05,7.24180013158819e-05,0.00331151275337365
"MAP1LC3B",0.00417328963152892,0.00544381450722901,0.00688893667609888
"MYOCD",0.000931468568514917,0.00157309920296536,0.000120091005036952
"ABCA8",1.2719750465312e-08,1.51784827897495e-07,2.44257274006102e-05
"GNAL",0.0045926900184098,0.008240146223533,0.00436754493985328
"ARRB2",0.010053521347173,0.0114864499454861,0.0130886253008376
"SAT2",0.00126542710759454,0.00253545557822207,0.0104329014782314
"PIK3R5",0.0131945745646256,0.0174582167976168,0.00660512092466112
"TTYH2",0.0234717368833349,0.0318274950863462,0.0188996346418778
"IGFBP4",0.00112811597329297,0.00156816593893658,0.000853165802804134
"IFITM3",0.000971544362215595,0.00133538542748664,0.00272776817444001
"COL6A1",0.000414527946729607,0.000513345806359853,0.00144445780748344
"COL6A2",1.90707614232138e-05,3.21245657219882e-05,0.000299706737414918
"EMP3",0.000184694870000083,0.000280658372024271,0.000761248094442014
"WTIP",0.000880983770491444,0.00106780956876209,0.00255103654703419
"ADAMTS10",0.00695192816227457,0.00830584678041941,0.0109244422710449
"MYO1F",0.00375056726573824,0.00474416103261925,0.000832729176234893
"NLRP12",0.00120046909077062,0.00228098266138045,0.00302565117336733
"RCN3",0.0222647537957969,0.0221201724154124,0.0267360905923351
"RPL11",0.00425415489505362,0.00627625340901539,0.0105041245160416
"MAP3K6",0.0182743500789458,0.0201608170644665,0.0162684114399597
"CCN1",4.32068510096844e-05,0.00013370958331365,0.000229129673499951
